Close_AAPL,Close_AMZN,Close_GOOG,Close_META,Close_TSLA,High_AAPL,High_AMZN,High_GOOG,High_META,High_TSLA,Low_AAPL,Low_AMZN,Low_GOOG,Low_META,Low_TSLA,Open_AAPL,Open_AMZN,Open_GOOG,Open_META,Open_TSLA,Volume_AAPL,Volume_AMZN,Volume_GOOG,Volume_META,Volume_TSLA,Date
-1.380589899730803,-1.7812061462361684,-1.2106227786329449,-0.6742122908452999,-1.2192660971025746,-1.380912382420417,-1.8022672913573365,-1.2212712678598985,-0.6949539185063195,-1.2181258419719654,-1.3719443196109888,-1.776196448042271,-1.21811115575001,-0.6795417801133203,-1.2159692183256525,-1.3790674901254323,-1.8012283456118658,-1.23183914233201,-0.6958581500951692,-1.2162723838999705,0.3240813919954715,-0.3513168365008769,-3.1598753802463554e-06,-0.375099087866733,-0.7536614488272546,2018-01-03
-1.3774157990060483,-1.7742579247386006,-1.2056766858902357,-0.6770387907050512,-1.2208278785947007,-1.3851638283521606,-1.789013164447844,-1.212173349493587,-0.6831879628739252,-1.2220148841267562,-1.3714636798284776,-1.75491306045434,-1.1916332935104579,-0.6562573941513546,-1.2219734739010943,-1.3790278316509004,-1.7797156675328036,-1.2019457249412897,-0.6707680189424658,-1.2210965109853484,-0.18904787608668402,-0.3949402152507908,-0.6463361571094299,-0.5655867845190841,0.2686478327140209,2018-01-04
-1.3695995413519295,-1.7490561643792735,-1.1857032263490201,-0.6560887640582315,-1.2196639627428532,-1.377684606665147,-1.7720686869263906,-1.1988266858984535,-0.6775108870637753,-1.222775301714971,-1.3675780206721773,-1.7479660890596243,-1.1814483603886359,-0.6492806638558648,-1.218128815637713,-1.3754524176174243,-1.7636004711451116,-1.1943747927232984,-0.6650355156114415,-1.2188713593639795,-0.10027730232757835,-0.13199237517345525,-0.22946959756820193,-0.5850050332645611,-0.740526410314604,2018-01-05
-1.3721784458591266,-1.7262006384787558,-1.1797603321708545,-0.644200564530875,-1.2078882237357718,-1.3767397754788708,-1.7414997907218364,-1.1900538162489545,-0.6610552301271083,-1.2112938580358485,-1.3640528266096275,-1.7193063581737096,-1.1691975779515047,-0.6375124035719144,-1.2159996415627172,-1.3718371879611593,-1.7397819296045347,-1.1839897451936234,-0.6516596785842776,-1.2192392414107558,-0.32428282556726057,0.23772456491232005,-0.5810346559791101,-0.3048727124265793,0.25227143606051533,2018-01-08
-1.372257861175245,-1.7186852332905462,-1.1806181462530454,-0.6476092644789768,-1.209503454937707,-1.3789048929915246,-1.7335191798052336,-1.190928414244598,-0.6618780725914377,-1.2102606539857321,-1.3661358884409203,-1.7066482243458112,-1.169692791257836,-0.6310399740372546,-1.2087604427458927,-1.3710427046546902,-1.7128587967722613,-1.1749420142356277,-0.6391978117863123,-1.2078702092046818,-0.25066714329697887,-0.07332471701613164,-0.8013892563049104,-0.6598768317890603,-0.2589585851320027,2018-01-09
-1.372416498582868,-1.7165839883537393,-1.185223589407585,-0.6478585603136557,-1.208844304145757,-1.381896488948456,-1.7399036685385159,-1.1983891970801377,-0.6693653499611959,-1.2113054663237377,-1.36777821275064,-1.712541517486922,-1.1762142467230803,-0.6433965281970728,-1.2071787825104772,-1.3765646558355806,-1.7279950183947947,-1.1904629295296494,-0.6538197469861595,-1.2096265870855047,-0.07855191056133402,-0.5640499914658549,-0.5883241258727272,-0.7779580363013737,-0.7935376920019585,2018-01-10
-1.3684886930493414,-1.6877727878268103,-1.1815517892043808,-0.648440378046432,-1.2069737172100534,-1.3772122824422317,-1.7112500410182925,-1.1959834747004394,-0.6651691292887943,-1.2067721060666174,-1.3618096302407756,-1.6875244007595693,-1.1717825244966547,-0.6286861760259895,-1.2051956156069557,-1.3708839280328378,-1.7092003933330222,-1.1788538047351365,-0.6416900760463745,-1.2078227427440087,-0.46193009764142146,-0.34316575535037397,-0.686276377568207,-0.8376133807665093,-0.3533914086426083,2018-01-11
-1.3613069206175104,-1.6510078367485381,-1.1604300639304137,-0.7182739276543554,-1.2080010525732938,-1.369850796098832,-1.6742327488446005,-1.1737824966754924,-0.722105902483365,-1.209326112079178,-1.3571625468768376,-1.6654995873469938,-1.169796009574195,-0.7125770011261616,-1.2049461903149783,-1.3645670451617593,-1.6916166856572068,-1.1837624854460382,-0.7275948168874397,-1.2058112071722284,0.027083188716883637,0.8234954708021671,0.4408579047323374,3.4695557250240667,-0.6964477086200707,2018-01-12
-1.3648779691064474,-1.65144628046154,-1.161060971728151,-0.7264209053355133,-1.205720724171769,-1.3618599285867912,-1.630588393216162,-1.1542622571581647,-0.7198841255894562,-1.206661819028173,-1.3551998117785335,-1.6408988402761853,-1.148552127983552,-0.7071970212603111,-1.2042587783177736,-1.357734161995348,-1.6277097122539812,-1.1457806968916184,-0.6990150523679103,-1.2064579801402988,0.32755861375198936,1.717598631570298,0.22035144045042007,0.84787033018555,-0.3856542292073971,2018-01-16
-1.3533320255557688,-1.6641566240446515,-1.1481658082718371,-0.7329887544933217,-1.2015045172786607,-1.362411020091491,-1.6637112407853363,-1.1633974832215666,-0.7398779866024884,-1.2043399953803906,-1.3594860654197227,-1.655755544845945,-1.1495989529268447,-0.7260263503212278,-1.2012475218184735,-1.3646863790917856,-1.6415706425852088,-1.153717692609552,-0.71762526002615,-1.2047193936939486,0.6767948297102664,0.7279466862046048,-0.34564552399772447,0.3287363785742556,-0.26708082558961016,2018-01-17
